example_id                                                               | status | run_time        |
./spec/requests/api/v1/menus_spec.rb[1:1:1:1]                            | passed | 0.02033 seconds |
./spec/requests/api/v1/menus_spec.rb[1:1:1:2]                            | passed | 0.01671 seconds |
./spec/requests/api/v1/menus_spec.rb[1:1:1:3]                            | passed | 0.04212 seconds |
./spec/requests/api/v1/menus_spec.rb[1:1:2:1]                            | passed | 0.01404 seconds |
./spec/requests/api/v1/menus_spec.rb[1:1:3:1]                            | passed | 0.01334 seconds |
./spec/requests/api/v1/menus_spec.rb[1:1:4:1]                            | passed | 0.02361 seconds |
./spec/requests/api/v1/menus_spec.rb[1:1:5:1]                            | passed | 0.01432 seconds |
./spec/requests/api/v1/menus_spec.rb[1:2:1:1]                            | passed | 0.02087 seconds |
./spec/requests/api/v1/menus_spec.rb[1:2:2:1]                            | passed | 0.00948 seconds |
./spec/requests/api/v1/menus_spec.rb[1:2:3:1]                            | passed | 0.0243 seconds  |
./spec/requests/api/v1/restaurants_spec.rb[1:1:1:1]                      | passed | 0.02254 seconds |
./spec/requests/api/v1/restaurants_spec.rb[1:1:1:2]                      | passed | 0.01535 seconds |
./spec/requests/api/v1/restaurants_spec.rb[1:1:2:1]                      | passed | 0.00298 seconds |
./spec/requests/api/v1/restaurants_spec.rb[1:2:1:1]                      | passed | 0.00626 seconds |
./spec/requests/api/v1/restaurants_spec.rb[1:2:2:1]                      | passed | 0.00341 seconds |
./spec/requests/api/v1/users_auth_spec.rb[1:1:1:1]                       | passed | 0.00719 seconds |
./spec/requests/api/v1/users_auth_spec.rb[1:1:2:1]                       | passed | 0.00859 seconds |
./spec/requests/api/v1/users_auth_spec.rb[1:2:1]                         | passed | 0.00746 seconds |
./spec/requests/api/v1/users_auth_spec.rb[1:2:2]                         | passed | 0.0076 seconds  |
./spec/requests/api/v1/users_auth_spec.rb[1:3:1]                         | passed | 0.01209 seconds |
./spec/requests/api/v1/users_auth_spec.rb[1:3:2]                         | passed | 0.00217 seconds |
./spec/requests/swagger/imports_spec.rb[1:1:1:1:1]                       | passed | 0.01002 seconds |
./spec/requests/swagger/imports_spec.rb[1:1:1:2:1]                       | passed | 0.00195 seconds |
./spec/requests/swagger/imports_spec.rb[1:1:1:3:1]                       | passed | 0.01398 seconds |
